"[3, 1, 2]",R,2023-11-30 17:09:56.766135
"[2, 2, 1]",K,2023-11-30 17:10:00.566074
"[3, 4, 1]",W,2023-11-30 17:10:07.866065
"[3, 4, 2]",X,2023-11-30 17:10:11.965941
"[2, 4, 1]",O,2023-11-30 17:10:14.566211
"[3, 1, 1]",Q,2023-11-30 17:10:17.866009
"[2, 1, 2]",J,2023-11-30 17:10:20.565976
"[3, 2, 2]",T,2023-11-30 17:10:23.165894
"[3, 3, 2]",V,2023-11-30 17:10:26.465943
"[3, 2, 1]",S,2023-11-30 17:10:29.266192
"[4, 1, 1]",Y,2023-11-30 17:10:32.165983
"[3, 2, 1]",S,2023-11-30 17:10:35.165976
"[1, 2, 2]",D,2023-11-30 17:10:38.865963
"[2, 1, 2]",J,2023-11-30 17:10:41.765902
"[3, 1, 2]",R,2023-11-30 17:10:44.965902
"[2, 3, 2]",N,2023-11-30 17:10:48.765949
"[3, 4, 1]",W,2023-11-30 17:10:52.665946
