"[2, 3, 1]",M,2023-11-30 13:51:48.308693
"[2, 4, 2]",P,2023-11-30 13:51:51.908732
"[1, 4, 1]",G,2023-11-30 13:51:55.608692
"[3, 2, 2]",T,2023-11-30 13:51:59.808681
"[4, 1, 2]",Z,2023-11-30 13:52:02.908806
"[3, 4, 1]",W,2023-11-30 13:52:07.708813
"[3, 1, 2]",R,2023-11-30 13:52:18.108585
"[3, 3, 1]",U,2023-11-30 13:52:22.308808
"[2, 4, 1]",O,2023-11-30 13:52:27.008601
"[1, 4, 2]",H,2023-11-30 13:52:29.808614
"[1, 2, 2]",D,2023-11-30 13:52:33.508687
"[3, 1, 2]",R,2023-11-30 13:52:37.308686
"[1, 3, 2]",F,2023-11-30 13:52:40.308677
"[2, 2, 2]",L,2023-11-30 13:52:43.308662
