Input,Letter,Time
"[1, 3, 1]",E,2023-12-03 14:48:43.782832
"[2, 3, 2]",N,2023-12-03 14:48:47.782852
"[1, 3, 1]",E,2023-12-03 14:48:50.283096
"[2, 3, 1]",M,2023-12-03 14:48:54.084328
"[4, 1, 1]",Y,2023-12-03 14:48:57.782932
"[4, 3, 1]", ,2023-12-03 14:49:00.582689
"[1, 1, 2]",B,2023-12-03 14:49:03.885115
"[1, 3, 1]",E,2023-12-03 14:49:06.882656
"[1, 1, 1]",A,2023-12-03 14:49:08.485266
"[1, 2, 1]",C,2023-12-03 14:49:11.582635
"[1, 3, 3]",,2023-12-03 14:49:19.782381
"[1, 4, 2]",H,2023-12-03 14:49:25.984862
"[4, 3, 1]", ,2023-12-03 14:49:29.485120
"[3, 1, 1]",Q,2023-12-03 14:49:34.684446
"[3, 3, 1]",U,2023-12-03 14:49:37.482442
"[1, 3, 1]",E,2023-12-03 14:49:40.684838
"[1, 3, 1]",E,2023-12-03 14:49:42.982526
"[2, 3, 2]",N,2023-12-03 14:49:46.184715
