Input,Letter,Time
"[1, 3, 2]",F,2023-12-03 14:29:20.503878
"[2, 2, 2]",L,2023-12-03 14:29:25.506630
"[1, 1, 1]",A,2023-12-03 14:29:27.604322
"[3, 2, 1]",S,2023-12-03 14:29:32.406492
"[1, 4, 2]",H,2023-12-03 14:29:37.006660
"[4, 3, 1]", ,2023-12-03 14:29:42.104305
"[1, 1, 2]",B,2023-12-03 14:29:46.104216
"[3, 1, 2]",R,2023-12-03 14:29:49.906981
"[2, 3, 1]",M,2023-12-03 14:29:59.704623
"[4, 3, 2]",backspace,2023-12-03 14:30:01.804082
"[2, 4, 1]",O,2023-12-03 14:30:05.904381
"[3, 4, 1]",W,2023-12-03 14:30:10.606801
"[2, 3, 2]",N,2023-12-03 14:30:15.407404
"[4, 3, 1]", ,2023-12-03 14:30:18.705072
"[3, 2, 2]",T,2023-12-03 14:30:24.507439
"[3, 4, 1]",W,2023-12-03 14:30:27.805035
"[2, 1, 1]",I,2023-12-03 14:30:31.507304
"[3, 2, 1]",S,2023-12-03 14:30:35.407324
"[3, 2, 2]",T,2023-12-03 14:30:37.804968
